"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
China,91194,24,4636,,"86,187",371,8,63,3,160000000,111163,1439323776
Japan,755065,2832,13364,119,"695,010","46,691",1198,5987,106,14778824,117182,126118844
S. Korea,142852,695,1969,1,"133,289","7,594",151,2784,38,9911324,193166,51309900
Mongolia,62585,1189,301,13,"52,812","9,472",126,18812,90,2975686,894460,3326796
Taiwan,10446,341,187,21,"1,133","9,126",,438,8,1049917,44010,23856544
Myanmar,143945,,3221,,"132,408","8,316",,2629,59,2626468,47976,54745872
Indonesia,1843612,6486,51296,201,"1,697,543","94,773",,6675,186,17092957,61889,276185590
Thailand,171979,2631,1177,31,"120,697","50,105",1169,2458,17,8124896,116134,69961532
Vietnam,8195,132,50,1,"3,085","5,060",,83,0.5,4941514,50349,98145005
Philippines,1255337,7450,21537,181,"1,173,006","60,794",1704,11317,194,13562756,122273,110922316
Malaysia,603122,7748,3182,86,"515,571","84,369",883,18417,97,12476699,380998,32747402
